perfil,dia,fonte,posicao,posicao_mmr,canal,tema,titulo,url
P1,3,NEXT,10,10,O TEMPO,POLITICA,"Governo Lula ja gastou mais de R$ 1,4 bilhao em cartao",https://youtu.be/0K7agrOLAMU?si=FlZux8NLrwD9KQWj
P1,4,HOME,1,1,SBT News,POLITICA,Lula comenta tarifa de 15% anunciada por Trump,https://youtu.be/WVzZxMVkaLs?si=B1_Yav0fkSMrxBOy
P1,4,HOME,2,2,UOL,POLITICA,"Justica Eleitoral proibe Marcal de ir a bar, boate e casa de prostituicao",https://youtu.be/y_jFzkthiWM?si=U9CO2l5ajDypiP9O
P1,4,HOME,3,3,Folha de S.Paulo,POLITICA,"Real, 30 anos: entenda como plano economico que fundou a moeda",https://youtu.be/vbmKHoFWz00?si=wC8ti962ysgBfSCZ
P1,4,HOME,4,4,Brasil Urgente,POLITICA,Tragedia da chuva em MG: mortes e destruicao,https://youtu.be/zihtmQQ5wCE?si=KEOGqn47L2SlrSAs
P1,4,HOME,5,5,CNN Brasil,POLITICA,Eleicoes 2026: Douglas Ruas e candidato do PL ,https://youtu.be/I8Qc0CG4qkw?si=kghyj92Wvp1bqOfc
P1,4,HOME,6,6,Jornal da Record,POLITICA,"Em visita a Coreia do Sul, presidente Lula encerra viagem a Asia",https://youtu.be/wZmURZLmmE8?si=obu96TlDAkubGHzc
P1,4,HOME,7,7,Parabolica,POLITICA,CHINA ENTRA NO JOGO COM IRA ,https://youtu.be/6FpkTRhkD98?si=fWEe3uqjgpYQIIE8
P1,4,HOME,8,8,TIMES BRASIL,POLITICA,A estrategia militar de Trump contra o Ira e o risco no estreito de Ormuz,https://youtu.be/Cj7lxvPd10g?si=W98yWL1X1fxnzEx6
P1,4,HOME,9,9,g1,POLITICA,JN: Organizacoes da sociedade civil pedem que Lula vete,https://youtu.be/939h2FpdfLM?si=9IMH3vJQjCEoaYQD
P1,4,HOME,10,10,CNN Brasil,POLITICA,"Nao sou representante da ONU, diz Lula sobre conflito dos EUA com Ira",https://youtu.be/V8dfscd1kHY?si=MPN1s3yZXyqQpG9N
